 , Accuracy, AUROC, F1-Score, Precision, Recall
Randomized 0 times, 0.771523178808, 0.827787772248, 0.817941952507, 0.782828282828, 0.85635359116
Randomized 1 times, 0.539735099338, 0.50917766312, 0.633245382586, 0.606060606061, 0.662983425414
Randomized 2 times, 0.493377483444, 0.460915026711, 0.596306068602, 0.570707070707, 0.624309392265
Randomized 3 times, 0.486754966887, 0.454020364367, 0.591029023747, 0.565656565657, 0.618784530387
Randomized 4 times, 0.466887417219, 0.433336377334, 0.575197889182, 0.550505050505, 0.602209944751
Randomized 5 times, 0.579470198675, 0.550545637186, 0.664907651715, 0.636363636364, 0.696132596685
Randomized 6 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 7 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 8 times, 0.586092715232, 0.55744029953, 0.67018469657, 0.641414141414, 0.701657458564
Randomized 9 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 10 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 11 times, 0.55298013245, 0.522966987809, 0.643799472296, 0.616161616162, 0.674033149171
Randomized 12 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 13 times, 0.526490066225, 0.495388338432, 0.622691292876, 0.59595959596, 0.651933701657
Randomized 14 times, 0.572847682119, 0.543650974841, 0.65963060686, 0.631313131313, 0.690607734807
Randomized 15 times, 0.55298013245, 0.522966987809, 0.643799472296, 0.616161616162, 0.674033149171
Randomized 16 times, 0.566225165563, 0.536756312497, 0.654353562005, 0.626262626263, 0.685082872928
Randomized 17 times, 0.539735099338, 0.50917766312, 0.633245382586, 0.606060606061, 0.662983425414
Randomized 18 times, 0.5, 0.467809689055, 0.601583113456, 0.575757575758, 0.629834254144
Randomized 19 times, 0.519867549669, 0.488493676088, 0.617414248021, 0.590909090909, 0.646408839779
Randomized 20 times, 0.526490066225, 0.495388338432, 0.622691292876, 0.59595959596, 0.651933701657
Randomized 21 times, 0.5, 0.467809689055, 0.601583113456, 0.575757575758, 0.629834254144
Randomized 22 times, 0.513245033113, 0.481599013744, 0.612137203166, 0.585858585859, 0.640883977901
Randomized 23 times, 0.566225165563, 0.536756312497, 0.654353562005, 0.626262626263, 0.685082872928
Randomized 24 times, 0.55298013245, 0.522966987809, 0.643799472296, 0.616161616162, 0.674033149171
Randomized 25 times, 0.519867549669, 0.488493676088, 0.617414248021, 0.590909090909, 0.646408839779
Randomized 26 times, 0.546357615894, 0.516072325465, 0.638522427441, 0.611111111111, 0.668508287293
Randomized 27 times, 0.486754966887, 0.454020364367, 0.591029023747, 0.565656565657, 0.618784530387
Randomized 28 times, 0.506622516556, 0.474704351399, 0.606860158311, 0.580808080808, 0.635359116022
Randomized 29 times, 0.559602649007, 0.529861650153, 0.64907651715, 0.621212121212, 0.67955801105
Randomized 30 times, 0.526490066225, 0.495388338432, 0.622691292876, 0.59595959596, 0.651933701657
Randomized 31 times, 0.539735099338, 0.50917766312, 0.633245382586, 0.606060606061, 0.662983425414
Randomized 32 times, 0.5, 0.467809689055, 0.601583113456, 0.575757575758, 0.629834254144
Randomized 33 times, 0.592715231788, 0.564334961874, 0.675461741425, 0.646464646465, 0.707182320442
Randomized 34 times, 0.506622516556, 0.474704351399, 0.606860158311, 0.580808080808, 0.635359116022
Randomized 35 times, 0.55298013245, 0.522966987809, 0.643799472296, 0.616161616162, 0.674033149171
Randomized 36 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 37 times, 0.506622516556, 0.474704351399, 0.606860158311, 0.580808080808, 0.635359116022
Randomized 38 times, 0.5, 0.467809689055, 0.601583113456, 0.575757575758, 0.629834254144
Randomized 39 times, 0.513245033113, 0.481599013744, 0.612137203166, 0.585858585859, 0.640883977901
Randomized 40 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 41 times, 0.533112582781, 0.502283000776, 0.627968337731, 0.60101010101, 0.657458563536
Randomized 42 times, 0.566225165563, 0.536756312497, 0.654353562005, 0.626262626263, 0.685082872928
Randomized 43 times, 0.493377483444, 0.460915026711, 0.596306068602, 0.570707070707, 0.624309392265
Randomized 44 times, 0.519867549669, 0.488493676088, 0.617414248021, 0.590909090909, 0.646408839779
Randomized 45 times, 0.519867549669, 0.488493676088, 0.617414248021, 0.590909090909, 0.646408839779
Randomized 46 times, 0.506622516556, 0.474704351399, 0.606860158311, 0.580808080808, 0.635359116022
Randomized 47 times, 0.572847682119, 0.543650974841, 0.65963060686, 0.631313131313, 0.690607734807
Randomized 48 times, 0.526490066225, 0.495388338432, 0.622691292876, 0.59595959596, 0.651933701657
Randomized 49 times, 0.539735099338, 0.50917766312, 0.633245382586, 0.606060606061, 0.662983425414
