%Aromatic,%Negative,%positive,%hydro,%cys,Pi,Weight,size,charge,salt,cysteine,Abundance,Enrichment
1.333333333,20.66666667,14,38,0.666666667,4.58,16771.46,10,0,0,0,-4.938655964,1.15E-02
4.597701149,19.54022989,14.94252874,36.7816092,0,4.85,10061.36,10,0,0,0,-5.170683707,1.23E-02
5.442176871,20.40816327,8.843537415,40.13605442,0,4.18,16134.87,10,0,0,0,-4.775246667,1.73E-02
4.026845638,18.79194631,12.75167785,40.26845638,0,4.55,16444.45,10,0,0,0,-5.165049725,1.84E-02
3.910209993,13.90296886,9.413468501,37.36422882,0.217233888,4.61,150783.44,10,0,0,0,-5.925188345,1.96E-02
4.137931034,17.24137931,13.10344828,37.93103448,0,4.75,15977.45,10,0,0,0,#N/A,2.06E-02
5.806451613,22.58064516,14.19354839,36.12903226,0,4.53,17909.86,10,0,0,0,-5.459688631,2.67E-02
5.213270142,10.90047393,6.161137441,44.07582938,0,4.26,22655.27,10,0,0,0,-5.797270302,2.75E-02
1.897983393,16.96322657,17.55634638,34.9940688,0.237247924,5.99,93213.98,10,0,0,0,#N/A,2.87E-02
6.837606838,22.22222222,18.8034188,36.32478632,0,4.84,24767.4,10,0,0,0,-5.891447412,3.21E-02
4.237288136,7.344632768,6.779661017,44.35028249,0.564971751,4.67,33351.22,10,0,0,0,-5.630487371,3.21E-02
2.052785924,6.451612903,6.744868035,47.21407625,1.173020528,4.87,28068.15,10,0,0,0,-6.677702013,4.21E-02
1.834862385,20.18348624,18.34862385,38.53211009,0,5.22,11692.71,10,0,0,0,-4.398573143,4.52E-02
4.895104895,11.18881119,12.58741259,44.05594406,1.398601399,5.67,11833.59,10,0,0,0,-4.859648204,4.62E-02
4.375,10,10.625,47.5,0.625,4.87,14553.48,10,0,0,0,#N/A,5.03E-02
0.56980057,19.94301994,16.23931624,31.62393162,0.284900285,4.93,39387.7,10,0,0,0,#N/A,5.27E-02
7.494646681,14.34689507,8.993576017,37.04496788,1.713062099,4.4,51011.44,10,0,0,0,-6.269402555,5.66E-02
2.112676056,23.94366197,11.97183099,35.21126761,1.408450704,4.32,16150.9,10,0,0,0,-5.795418204,5.96E-02
2.312138728,15.89595376,11.2716763,44.79768786,0.289017341,4.68,37218.44,10,0,0,0,-5.304879422,6.57E-02
6.008583691,27.46781116,15.02145923,30.04291845,0,4.31,26531.54,10,0,0,0,#N/A,7.52E-02
4.166666667,17.85714286,12.5,23.21428571,0,4.55,19025.56,10,0,0,0,-4.764452584,7.68E-02
3.760683761,10.94017094,14.64387464,36.18233618,0.797720798,7.94,198405.07,10,0,0,0,#N/A,8.07E-02
3.703703704,10.94017094,14.64387464,36.18233618,0.854700855,7.93,198374.07,10,0,0,0,#N/A,8.50E-02
1.886792453,22.64150943,6.603773585,53.77358491,0,3.94,10745.79,10,0,0,0,-4.488838993,8.57E-02
5.925925926,11.11111111,10.37037037,53.33333333,1.481481481,5.34,12446.38,10,0,0,0,-6.098660706,8.62E-02
5.660377358,20.75471698,5.660377358,53.77358491,0,3.84,10536.41,10,0,0,0,-4.659208011,8.64E-02
3.524229075,8.810572687,5.726872247,42.2907489,2.643171806,4.24,16818.33,10,0,0,0,#N/A,8.98E-02
0.877192982,18.42105263,22.80701754,41.22807018,0,8.96,12712.67,10,0,0,0,#N/A,9.05E-02
2.727272727,20.90909091,7.272727273,54.54545455,0,4.07,11050.1,10,0,0,0,-4.393615275,9.60E-02
5.035971223,12.23021583,13.66906475,41.72661871,0.71942446,5.91,15413.27,10,0,0,0,-5.382188741,9.75E-02
1.869158879,20.56074766,21.4953271,28.03738318,0,6.18,24384.93,10,0,0,0,-6.076944875,1.01E-01
5.952380952,16.66666667,21.42857143,29.76190476,0,7.93,9483.33,10,0,0,0,-4.78048539,1.09E-01
4.102564103,11.79487179,14.87179487,34.87179487,1.025641026,6.65,21782.94,10,0,0,0,-5.832624366,1.10E-01
2.597402597,12.33766234,11.03896104,45.45454545,0,5.13,17134.43,10,0,0,0,-6.108787718,1.12E-01
5.504587156,18.11926606,16.05504587,37.6146789,0,5.17,48522.02,10,0,0,0,-5.523698088,1.18E-01
3.526093089,21.29760226,11.9887165,30.32440056,0.423131171,4.32,78697.11,10,0,0,0,#N/A,1.18E-01
3.759398496,12.78195489,19.54887218,36.09022556,0,7.24,14260.24,10,0,0,0,#N/A,1.18E-01
2.457757296,15.8218126,13.3640553,31.95084485,0,5.03,73623.76,10,0,0,0,-6.010675602,1.19E-01
1.507537688,29.14572864,18.09045226,25.12562814,0,4.58,23540.74,10,0,0,0,-4.485129283,1.20E-01
4.12371134,24.74226804,13.91752577,33.50515464,0.515463918,4.35,22199.09,10,0,0,0,-4.963091224,1.29E-01
6.666666667,16,12,45.33333333,1.333333333,4.36,13347.1,10,0,0,0,-5.474348721,1.32E-01
3.896103896,12.33766234,12.98701299,48.05194805,1.298701299,5.63,15723.41,10,0,0,0,-4.944282381,1.34E-01
4.743083004,20.15810277,16.60079051,35.17786561,0,4.93,58385.02,10,0,0,0,-5.501357274,1.41E-01
4.090909091,13.18181818,15.45454545,47.27272727,1.818181818,5.93,23833.17,10,0,0,0,#N/A,1.44E-01
1.769911504,20.3539823,18.5840708,31.85840708,0,5.43,12457.8,10,0,0,0,-4.616147873,1.45E-01
4.301075269,17.20430108,10.75268817,49.46236559,0,4.54,10423,10,0,0,0,-5.256188211,1.46E-01
3.817663818,10.997151,14.58689459,36.18233618,0.797720798,8.05,198659.46,10,0,0,0,#N/A,1.49E-01
5.100182149,11.20218579,12.56830601,39.43533698,0.637522769,6.17,123017.86,10,0,0,0,-6.359572022,1.51E-01
1.657458564,25.96685083,9.944751381,39.77900552,1.104972376,4.01,20073.69,10,0,0,0,-4.916825573,1.57E-01
2.763819095,17.08542714,7.788944724,45.22613065,1.005025126,4.25,42366.75,10,0,0,0,-5.513375587,1.57E-01
4.561403509,13.68421053,20,37.19298246,1.754385965,9.53,31574.19,10,0,0,0,-5.753102321,1.59E-01
5.369127517,10.73825503,19.46308725,42.95302013,0.67114094,9.26,13909.07,10,0,0,0,#N/A,1.65E-01
6.081081081,16.89189189,16.89189189,37.16216216,0.675675676,4.5,12627.05,10,0,0,0,-5.749888034,1.68E-01
3.797468354,14.55696203,14.55696203,43.03797468,3.797468354,5.66,17506.98,10,0,0,0,-5.65784795,1.68E-01
4.081632653,10.20408163,14.28571429,46.93877551,0,8.93,10781.37,10,0,0,0,-5.737757178,1.74E-01
3.493449782,25.76419214,17.03056769,29.25764192,0.436681223,4.57,26648.99,10,0,0,0,-4.801248405,1.75E-01
7.066381156,12.20556745,10.49250535,35.54603854,1.927194861,4.94,50966.62,10,0,0,0,#N/A,1.75E-01
4.222972973,20.60810811,13.51351351,38.85135135,0.168918919,4.59,65445.03,10,0,0,0,-4.919564055,1.76E-01
8,14.22222222,13.77777778,40.88888889,0.888888889,5.24,22783.64,10,0,0,0,-5.085703483,1.76E-01
1.149425287,14.94252874,14.94252874,40.22988506,1.149425287,5.75,9745.84,10,0,0,0,#N/A,1.77E-01
1.785714286,8.333333333,13.0952381,35.71428571,0.595238095,9.41,18051.01,10,0,0,0,-6.032506978,1.78E-01
7.035175879,6.030150754,8.542713568,45.72864322,0,6.97,20151.15,10,0,0,0,#N/A,1.79E-01
1.149425287,14.94252874,14.94252874,40.22988506,1.149425287,5.75,9759.87,10,0,0,0,-5.582649112,1.81E-01
5.573248408,21.01910828,14.01273885,31.21019108,0.477707006,4.62,71354.71,10,0,0,0,-5.309635372,1.88E-01
3.406326034,22.62773723,16.30170316,31.14355231,0,4.7,46869.67,10,0,0,0,-5.103525306,1.88E-01
6.513409962,17.81609195,10.1532567,42.14559387,1.149425287,4.37,55345.84,10,0,0,0,-5.429087618,1.89E-01
5.583756345,13.70558376,15.73604061,37.05583756,0.507614213,6.52,22178.67,10,0,0,0,#N/A,1.91E-01
