,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
"identified protein, description",gene names,accession number,pI,length,molecular weight,Enzyme Commission number,"Gene Ontology, Biological Process ","Gene Ontology, Cellular Component","Gene Ontology, Molecular Function","Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,"Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,"Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,"Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,"Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,"Bound Fraction, average NSAF value ","Bound Fraction, standard deviation in NSAF value ","Unbound Fraction, average NSAF value","Unbound Fraction, standard deviation in NSAF value",Enrichment Factor,
Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,TDH3 GPD3 YGR192C G7576,P00359,6.49,332,35615.48,1,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. ,Cytoplasm. ,NAD binding; NADP binding; apoptotic process; fungal-type cell wall; gluconeogenesis; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; glycolysis; lipid particle; mitochondrion; plasma membrane; reactive oxygen species metabolic process,9.33E-02,3.16E-03,1.16E-02,4.71E-03,8.05E+00,4.89E-02,3.59E-03,4.10E-02,9.90E-04,1.19E+00,3.47E-02,9.38E-03,3.41E-02,7.50E-04,1.02E+00,2.96E-02,9.07E-03,8.84E-03,3.36E-03,3.35E+00,2.05E-02,1.14E-03,7.72E-03,1.33E-03,2.66E+00,2.99E-02,1.94E-02,7.70E-03,4.73E-04,3.88E+00,
Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,CDC19 PYK1 YAL038W,P00549,7.54,500,54413.44,2,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 5/5. ,0,ATP binding; cytoplasm; glycolysis; magnesium ion binding; plasma membrane; potassium ion binding; pyruvate kinase activity; pyruvate metabolic process,1.64E-02,1.58E-03,3.95E-04,5.45E-05,4.16E+01,5.06E-05,8.77E-05,0.00E+00,0.00E+00,---,1.23E-02,1.79E-03,9.74E-03,4.61E-04,1.26E+00,6.28E-03,2.30E-03,1.00E-03,9.44E-04,6.26E+00,3.98E-03,6.70E-04,6.77E-04,3.58E-04,5.88E+00,5.55E-03,2.14E-03,2.63E-04,6.99E-05,2.11E+01,
Cluster of Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3 (HSP72_YEAST),SSA2 YLL024C L0931,P10592,4.94,639,69338.81,0,0,Cytoplasm. Secreted â€º cell wall. ,"ATP binding; ATPase activity; SRP-dependent cotranslational protein targeting to membrane, translocation; cytosol; extracellular region; fungal-type cell wall; fungal-type vacuole membrane; mitochondrion; plasma membrane; polysome; protein folding; response to stress; unfolded protein binding",6.48E-03,1.07E-03,4.14E-03,4.85E-04,1.57E+00,5.41E-03,2.57E-04,7.55E-03,6.98E-04,7.17E-01,5.25E-03,7.43E-04,9.51E-03,8.33E-04,5.52E-01,3.86E-03,4.61E-04,4.09E-03,4.50E-04,9.43E-01,2.58E-03,2.31E-04,4.47E-03,3.07E-04,5.77E-01,2.86E-03,7.76E-04,4.24E-03,5.43E-04,6.74E-01,
    Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4,SSA1 YAL005C,P10591,4.99,642,69526.06,0,0,Cytoplasm. Secreted â€º cell wall. ,"ATP binding; ATPase activity; SRP-dependent cotranslational protein targeting to membrane, translocation; cytoplasmic translation; extracellular region; fungal-type cell wall; fungal-type vacuole membrane; nucleus; plasma membrane; polysome; protein import into nucleus, translocation; protein refolding; protein targeting to mitochondrion; response to stress; unfolded protein binding",6.35E-03,1.28E-03,4.31E-03,5.57E-04,1.47E+00,5.21E-03,2.14E-04,6.85E-03,8.71E-04,7.61E-01,3.90E-03,5.42E-04,7.25E-03,8.60E-04,5.39E-01,3.62E-03,4.48E-04,3.99E-03,1.46E-04,9.07E-01,2.36E-03,3.18E-04,4.28E-03,4.02E-04,5.52E-01,2.71E-03,6.15E-04,3.80E-03,3.11E-04,7.13E-01,
    Heat shock protein SSA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA3 PE=1 SV=3,SSA3 YBL075C YBL06.07 YBL0610,P09435,5.05,649,70546.79,0,0,Cytoplasm. ,"ATP binding; ATPase activity; SRP-dependent cotranslational protein targeting to membrane, translocation; cytosol; protein folding; response to stress; unfolded protein binding",1.50E-03,3.42E-04,1.31E-03,9.90E-05,1.14E+00,1.39E-03,1.91E-04,1.23E-03,1.64E-04,1.13E+00,9.43E-04,2.47E-04,1.49E-03,1.99E-04,6.35E-01,8.81E-04,1.68E-04,7.98E-04,1.57E-04,1.11E+00,6.25E-04,6.94E-05,7.64E-04,1.36E-04,8.18E-01,6.08E-04,1.65E-04,7.35E-04,1.01E-04,8.27E-01,
    Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3,SSA4 YER103W,P22202,5.02,642,69651.09,0,0,Cytoplasm. ,"ATP binding; ATPase activity; SRP-dependent cotranslational protein targeting to membrane, translocation; cytoplasm; nucleus; protein folding; response to stress; unfolded protein binding",2.05E-03,2.37E-04,1.53E-03,2.35E-04,1.34E+00,1.78E-03,1.62E-04,1.64E-03,8.34E-05,1.09E+00,1.29E-03,2.29E-04,1.90E-03,2.12E-04,6.79E-01,1.32E-03,1.59E-04,1.08E-03,1.52E-04,1.22E+00,8.94E-04,9.30E-05,1.16E-03,1.54E-04,7.71E-01,8.23E-04,6.65E-05,1.03E-03,1.65E-04,7.95E-01,
Cluster of Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7 (PDC1_YEAST),PDC1 YLR044C L2104,P06169,5.8,563,61364.2,4,Fermentation; ethanol fermentation. Amino-acid degradation; Ehrlich pathway. ,Cytoplasm. Nucleus. ,L-phenylalanine catabolic process; aromatic amino acid family catabolic process to alcohol via Ehrlich pathway; branched-chain amino acid catabolic process; cytosol; glucose catabolic process to ethanol; magnesium ion binding; nucleus; pyruvate decarboxylase activity; pyruvate metabolic process; thiamine pyrophosphate binding; tryptophan catabolic process,1.33E-02,6.59E-04,2.05E-03,2.70E-04,6.47E+00,1.02E-02,2.51E-04,1.21E-02,1.77E-04,8.47E-01,1.15E-02,2.17E-03,1.19E-02,8.83E-04,9.67E-01,5.68E-03,1.45E-03,2.32E-03,7.31E-04,2.45E+00,5.16E-03,2.64E-04,1.91E-03,3.83E-04,2.70E+00,5.32E-03,1.35E-03,1.65E-03,1.89E-04,3.23E+00,
    Pyruvate decarboxylase isozyme 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC6 PE=1 SV=3,PDC6 YGR087C,P26263,5.8,563,61580.43,4,Fermentation; ethanol fermentation. Amino-acid degradation; Ehrlich pathway. ,Cytoplasm. ,L-phenylalanine catabolic process; aromatic amino acid family catabolic process to alcohol via Ehrlich pathway; branched-chain amino acid catabolic process; cytoplasm; ethanol metabolic process; magnesium ion binding; pyruvate decarboxylase activity; thiamine pyrophosphate binding; tryptophan catabolic process,1.81E-03,2.78E-04,1.40E-04,1.37E-04,1.30E+01,1.72E-03,1.60E-04,3.63E-03,2.24E-04,4.73E-01,2.26E-03,3.23E-04,3.53E-03,7.02E-04,6.42E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,PGK1 YCR012W YCR12W,P00560,7.09,416,44607.23,2,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 2/5. ,Cytoplasm. ,ATP binding; gluconeogenesis; glycolysis; mitochondrion; phosphoglycerate kinase activity; plasma membrane,1.76E-02,5.91E-03,1.49E-03,1.97E-04,1.18E+01,2.01E-02,2.13E-03,1.03E-02,1.04E-03,1.96E+00,9.74E-03,2.15E-03,1.27E-02,1.27E-03,7.65E-01,7.91E-03,2.31E-03,1.13E-03,4.53E-04,7.01E+00,4.69E-03,9.67E-05,1.34E-03,2.56E-04,3.49E+00,5.56E-03,1.84E-03,8.13E-04,1.92E-04,6.83E+00,
Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,ENO2 ENOB YHR174W,P00925,5.67,437,46782.98,4,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 4/5. ,Cytoplasm. ,"fungal-type vacuole; gluconeogenesis; glycolysis; internal side of plasma membrane; magnesium ion binding; mitochondrion; phosphopyruvate hydratase activity; phosphopyruvate hydratase complex; regulation of vacuole fusion, non-autophagic",4.18E-02,4.20E-03,5.91E-03,7.69E-04,7.07E+00,3.06E-02,1.09E-03,1.84E-02,2.57E-03,1.66E+00,1.54E-02,2.06E-03,2.33E-02,9.62E-04,6.59E-01,1.66E-02,5.37E-03,8.86E-03,2.02E-03,1.87E+00,1.38E-02,6.92E-04,6.01E-03,1.15E-03,2.29E+00,1.69E-02,5.18E-03,5.47E-03,6.49E-04,3.08E+00,
Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBA1 PE=1 SV=3,FBA1 YKL060C YKL320,P14540,5.51,359,39489.57,4,Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 4/4. ,0,cytosol; fructose-bisphosphate aldolase activity; gluconeogenesis; glycolysis; mitochondrion; zinc ion binding,1.84E-02,2.87E-03,2.09E-03,5.35E-04,8.83E+00,1.40E-02,1.27E-03,1.29E-02,1.73E-03,1.08E+00,7.56E-03,3.96E-04,1.01E-02,6.37E-04,7.50E-01,4.52E-03,1.59E-03,1.46E-03,5.87E-04,3.10E+00,3.90E-03,3.34E-04,1.20E-03,1.61E-04,3.26E+00,4.34E-03,1.65E-03,9.69E-04,2.56E-04,4.48E+00,
Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W,P32324,5.92,842,93289.18,0,Protein biosynthesis; polypeptide chain elongation. ,Cytoplasm. ,GTP binding; GTP catabolic process; GTPase activity; positive regulation of translational elongation; rRNA binding; ribosome; translation elongation factor activity,1.38E-03,4.80E-04,4.48E-04,4.95E-05,3.09E+00,2.82E-03,2.22E-04,2.63E-03,2.25E-04,1.08E+00,3.41E-03,2.97E-04,2.49E-03,7.88E-05,1.37E+00,1.12E-03,1.81E-04,9.61E-04,1.43E-04,1.16E+00,1.72E-03,7.58E-05,5.89E-04,8.54E-05,2.91E+00,1.95E-03,8.08E-05,5.23E-04,6.96E-05,3.73E+00,
