Rank Number,Protein Name,C1,C2,C3,c,MAX,SUM
1,>tr|E7KPL2|E7KPL2_YEASL Eno2p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_2227 PE=3 SV=1,43,180,100,0,180,323
2,>sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,165,164,133,0,165,462
3,>sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,148,154,147,0,154,449
4,>sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,148,32,25,0,148,205
5,>sp|P14832|CYPH_YEAST Peptidyl-prolyl cis-trans isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR1 PE=1 SV=3,89,103,38,0,103,230
6,>sp|P15108|HSC82_YEAST ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSC82 PE=1 SV=4,77,82,90,0,90,249
7,>tr|E7LWS1|E7LWS1_YEASV Sba1p OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_2832 PE=4 SV=1,NaN,NaN,90,0,90,90
8,>tr|B5VM96|B5VM96_YEAS6 YKL060Cp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_111660 PE=4 SV=1,80,87,73,0,87,240
9,>tr|E7KQY9|E7KQY9_YEASL Sba1p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_2844 PE=4 SV=1,NaN,85,NaN,0,85,85
10,>tr|B3LUU3|B3LUU3_YEAS1 Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_05639 PE=3 SV=1,81,80,NaN,0,81,161
11,>sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4,77,56,NaN,0,77,133
12,>sp|P29311|BMH1_YEAST Protein BMH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH1 PE=1 SV=4,70,76,29,0,76,175
13,>sp|P47068|BBC1_YEAST Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BBC1 PE=1 SV=2,69,62,74,0,74,205
14,>sp|P28707|SBA1_YEAST Co-chaperone protein SBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBA1 PE=1 SV=3,73,NaN,NaN,0,73,73
15,>sp|Q12306|SMT3_YEAST Ubiquitin-like protein SMT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMT3 PE=1 SV=1,50,71,49,0,71,170
16,>sp|P06169|PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC1 PE=1 SV=7,64,NaN,53,0,64,117
17,>sp|P15891|ABP1_YEAST Actin-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABP1 PE=1 SV=4,55,63,60,0,63,178
18,>sp|P17536|TPM1_YEAST Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM1 PE=1 SV=1,46,63,54,0,63,163
19,>sp|P22803|TRX2_YEAST Thioredoxin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX2 PE=1 SV=3,53,60,62,0,62,175
20,>tr|G2W8W0|G2W8W0_YEASK K7_Ede1p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_EDE1 PE=4 SV=1,62,51,NaN,0,62,113
21,>sp|P48415|SEC16_YEAST COPII coat assembly protein SEC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC16 PE=1 SV=2,61,61,NaN,0,61,122
22,>tr|E7Q6H3|E7Q6H3_YEASB Pdc1p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_3098 PE=3 SV=1,NaN,60,NaN,0,60,60
23,>tr|C8ZDC1|C8ZDC1_YEAS8 Stm1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1L10_2388g PE=4 SV=1,NaN,57,NaN,0,57,57
24,>sp|P0CH08|RL40A_YEAST Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL40A PE=1 SV=1,54,52,55,0,55,161
25,>sp|P28240|ACEA_YEAST Isocitrate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ICL1 PE=1 SV=1,55,54,28,0,55,137
26,>sp|P02400|RLA4_YEAST 60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2,34,55,26,0,55,115
27,>sp|P05318|RLA1_YEAST 60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1A PE=1 SV=4,49,47,54,0,54,150
28,>tr|E7QHZ5|E7QHZ5_YEASZ Stm1p OS=Saccharomyces cerevisiae (strain Zymaflore VL3) GN=VL3_3238 PE=4 SV=1,52,NaN,NaN,0,52,52
29,>sp|Q06146|YL257_YEAST Uncharacterized protein YLR257W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR257W PE=1 SV=1,35,51,NaN,0,51,86
30,>sp|P35732|DEF1_YEAST RNA polymerase II degradation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DEF1 PE=1 SV=1,38,50,35,0,50,123
31,>sp|P0CT05|IPB1_YEASX Protease B inhibitor 1 OS=Saccharomyces cerevisiae GN=PBI2 PE=1 SV=1,NaN,NaN,48,0,48,48
32,>sp|P10592|HSP72_YEAST Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3,47,35,44,0,47,126
33,>sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,37,47,40,0,47,124
34,>sp|P12709|G6PI_YEAST Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGI1 PE=1 SV=3,44,37,36,0,44,117
35,>sp|P50263|SIP18_YEAST Protein SIP18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP18 PE=1 SV=1,44,NaN,40,0,44,84
36,>sp|P15992|HSP26_YEAST Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP26 PE=1 SV=3,43,39,16,0,43,98
37,>sp|P39015|STM1_YEAST Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STM1 PE=1 SV=3,NaN,NaN,43,0,43,43
38,>sp|P04807|HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4,42,39,23,0,42,104
39,>sp|P04806|HXKA_YEAST Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK1 PE=1 SV=2,41,23,16,0,41,80
40,>sp|P0CT04|IPB2_YEAST Protease B inhibitor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBI2 PE=1 SV=1,41,38,NaN,0,41,79
41,>tr|B3LKY7|B3LKY7_YEAS1 Vesicle coat component OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_02410 PE=4 SV=1,NaN,NaN,41,0,41,41
42,>tr|E7Q0V0|E7Q0V0_YEASB Ipp1p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_0169 PE=4 SV=1,NaN,NaN,41,0,41,41
43,>sp|P19414|ACON_YEAST Aconitate hydratase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO1 PE=1 SV=2,39,40,30,0,40,109
44,>sp|P07267|CARP_YEAST Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP4 PE=1 SV=1,40,28,9,0,40,77
45,>sp|P05319|RLA2_YEAST 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1,26,39,23,0,39,88
46,>sp|P34760|TSA1_YEAST Peroxiredoxin TSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSA1 PE=1 SV=3,39,36,NaN,0,39,75
47,>sp|P22943|HSP12_YEAST 12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP12 PE=1 SV=1,35,38,36,0,38,109
48,>tr|E7KSS8|E7KSS8_YEASL Sip18p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_3753 PE=4 SV=1,NaN,38,NaN,0,38,38
49,>tr|E9P9G3|E9P9G3_YEASX Translation elongation factor 1-alpha (Fragment) OS=Saccharomyces cerevisiae PE=4 SV=1,38,NaN,NaN,0,38,38
50,>sp|P53184|PNC1_YEAST Nicotinamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNC1 PE=1 SV=1,37,37,29,0,37,103
51,>sp|P22217|TRX1_YEAST Thioredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX1 PE=1 SV=3,31,37,29,0,37,97
52,>sp|P43597|YFI6_YEAST Uncharacterized protein YFR016C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR016C PE=1 SV=1,26,37,33,0,37,96
53,>sp|P40185|MMF1_YEAST Protein MMF1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MMF1 PE=1 SV=1,36,33,26,0,36,95
54,>sp|P41818|GLC8_YEAST Protein GLC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC8 PE=1 SV=1,36,34,23,0,36,93
55,>sp|P23254|TKT1_YEAST Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4,30,35,16,0,35,81
56,>sp|E7QIA1|HRI1_YEASZ Protein HRI1 OS=Saccharomyces cerevisiae (strain Zymaflore VL3) GN=HRI1 PE=3 SV=1,35,22,NaN,0,35,57
57,>tr|B3RHE0|B3RHE0_YEAS1 Uncharacterized protein OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_04208 PE=4 SV=1,NaN,NaN,35,0,35,35
58,>sp|P35719|MRP8_YEAST Uncharacterized protein MRP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP8 PE=1 SV=1,26,34,25,0,34,85
59,>sp|P38845|CRP1_YEAST Cruciform DNA-recognizing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CRP1 PE=1 SV=1,31,34,NaN,0,34,65
60,>sp|P34216|EDE1_YEAST EH domain-containing and endocytosis protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDE1 PE=1 SV=2,NaN,NaN,34,0,34,34
