Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
P00359,9.33E-02,8.05E+00,4.89E-02,1.19E+00,3.47E-02,1.02E+00,2.96E-02,3.35E+00,2.05E-02,2.66E+00,2.99E-02,3.88E+00
P00549,1.64E-02,4.16E+01,5.06E-05,---,1.23E-02,1.26E+00,6.28E-03,6.26E+00,3.98E-03,5.88E+00,5.55E-03,2.11E+01
P10592,6.48E-03,1.57E+00,5.41E-03,7.17E-01,5.25E-03,5.52E-01,3.86E-03,9.43E-01,2.58E-03,5.77E-01,2.86E-03,6.74E-01
P10591,6.35E-03,1.47E+00,5.21E-03,7.61E-01,3.90E-03,5.39E-01,3.62E-03,9.07E-01,2.36E-03,5.52E-01,2.71E-03,7.13E-01
P09435,1.50E-03,1.14E+00,1.39E-03,1.13E+00,9.43E-04,6.35E-01,8.81E-04,1.11E+00,6.25E-04,8.18E-01,6.08E-04,8.27E-01
P22202,2.05E-03,1.34E+00,1.78E-03,1.09E+00,1.29E-03,6.79E-01,1.32E-03,1.22E+00,8.94E-04,7.71E-01,8.23E-04,7.95E-01
P06169,1.33E-02,6.47E+00,1.02E-02,8.47E-01,1.15E-02,9.67E-01,5.68E-03,2.45E+00,5.16E-03,2.70E+00,5.32E-03,3.23E+00
P26263,1.81E-03,1.30E+01,1.72E-03,4.73E-01,2.26E-03,6.42E-01,---,---,---,---,---,---
P00560,1.76E-02,1.18E+01,2.01E-02,1.96E+00,9.74E-03,7.65E-01,7.91E-03,7.01E+00,4.69E-03,3.49E+00,5.56E-03,6.83E+00
P00925,4.18E-02,7.07E+00,3.06E-02,1.66E+00,1.54E-02,6.59E-01,1.66E-02,1.87E+00,1.38E-02,2.29E+00,1.69E-02,3.08E+00
P14540,1.84E-02,8.83E+00,1.40E-02,1.08E+00,7.56E-03,7.50E-01,4.52E-03,3.10E+00,3.90E-03,3.26E+00,4.34E-03,4.48E+00
P32324,1.38E-03,3.09E+00,2.82E-03,1.08E+00,3.41E-03,1.37E+00,1.12E-03,1.16E+00,1.72E-03,2.91E+00,1.95E-03,3.73E+00
P16521,1.79E-03,1.24E+01,2.51E-03,1.44E+00,2.67E-03,1.28E+00,5.78E-04,1.64E+01,4.94E-04,---,3.68E-04,4.10E+01
P39015,2.74E-02,1.54E+00,7.68E-03,1.02E+00,3.65E-03,3.51E-01,1.19E-02,2.60E+00,4.16E-03,4.34E-01,4.77E-03,5.43E-01
P19097,---,---,6.47E-04,1.26E+00,8.84E-04,2.13E+00,2.25E-05,4.73E+00,3.74E-05,7.36E+00,3.80E-05,---
P00330,2.52E-02,1.52E+01,7.09E-03,7.49E-01,6.80E-03,5.57E-01,7.64E-03,3.21E+00,5.57E-03,2.99E+00,7.58E-03,3.70E+00
P14126,2.37E-04,---,3.45E-03,1.05E+00,6.60E-03,2.24E+00,2.64E-04,---,6.24E-05,---,3.32E-05,---
P32471,1.59E-03,2.68E-01,4.87E-03,2.72E-01,2.28E-03,1.25E-01,1.81E-03,4.20E-01,1.74E-03,3.33E-01,1.68E-03,3.45E-01
P07149,2.63E-05,---,1.23E-05,2.58E+00,8.58E-04,1.97E+00,---,---,---,---,---,---
P02994,1.82E-03,2.74E+00,2.86E-03,1.21E+00,4.64E-03,1.78E+00,2.10E-03,1.45E+00,2.16E-03,1.90E+00,2.57E-03,2.56E+00
P00942,1.40E-02,6.63E+00,9.90E-03,1.81E+00,6.13E-03,8.55E-01,9.09E-03,3.89E+00,6.89E-03,2.92E+00,7.89E-03,4.74E+00
Q08245,3.79E-03,1.45E-01,6.19E-03,4.87E-01,6.54E-03,3.49E-01,9.77E-03,3.06E-01,7.94E-03,2.62E-01,6.81E-03,2.14E-01
P09436,6.13E-04,---,7.58E-04,1.01E+00,1.09E-03,1.58E+00,1.71E-04,5.08E+00,1.13E-05,4.39E-01,5.82E-05,3.33E+00
P04147,1.14E-04,2.24E-01,1.04E-03,7.69E-01,2.39E-03,1.40E+00,9.75E-04,5.67E-01,2.92E-03,2.81E+00,2.68E-03,2.80E+00
P15705,3.06E-04,3.48E-01,1.84E-03,1.27E+00,8.52E-04,4.11E-01,1.31E-03,8.00E-01,1.14E-03,8.50E-01,1.19E-03,8.21E-01
P22943,1.71E-03,4.52E-02,9.33E-03,6.41E-01,6.40E-03,3.57E-01,5.25E-03,3.04E-01,4.82E-03,3.05E-01,3.70E-03,2.17E-01
Q00955,---,---,1.42E-04,1.34E+00,1.76E-04,2.96E+00,2.48E-05,1.20E+00,5.19E-06,1.31E+00,0.00E+00,0.00E+00
P54115,4.27E-03,3.06E+01,2.77E-03,1.48E+00,3.00E-03,1.33E+00,3.34E-03,2.28E+01,2.20E-03,3.06E+01,2.84E-03,2.16E+01
P38011,1.04E-02,1.22E+02,5.50E-03,9.86E-01,3.72E-03,7.13E-01,3.43E-03,---,1.76E-03,6.19E+01,2.67E-03,---
P05750,4.82E-04,6.49E+00,6.41E-03,1.05E+00,6.96E-03,1.69E+00,9.41E-04,3.51E+00,3.46E-04,1.51E+00,5.67E-04,2.08E+00
P0CS90,9.79E-04,2.48E+00,1.93E-03,1.51E+00,3.12E-03,2.10E+00,6.75E-04,8.50E-01,4.00E-04,4.84E-01,4.54E-04,4.59E-01
P16861,1.20E-04,1.29E+01,1.06E-03,1.39E+00,1.26E-03,1.64E+00,1.22E-04,---,1.09E-04,---,1.65E-04,1.74E+01
P00950,9.96E-03,3.32E+00,3.45E-03,5.87E-01,5.29E-03,1.21E+00,8.16E-03,3.91E+00,4.20E-03,2.02E+00,4.94E-03,2.29E+00
P25443,3.60E-04,---,3.81E-03,1.32E+00,5.19E-03,1.76E+00,---,---,---,---,---,---
P0CX35,---,---,5.01E-03,1.08E+00,6.06E-03,1.65E+00,6.42E-04,---,3.66E-04,---,4.17E-04,---
P07259,---,---,1.66E-04,1.95E+00,2.28E-04,3.29E+00,1.16E-05,9.31E-01,0.00E+00,---,1.67E-05,3.87E+00
P05759,1.54E-03,7.01E-01,3.43E-03,2.74E-01,1.59E-03,1.41E-01,1.12E-03,1.54E-01,1.02E-03,9.19E-02,1.05E-03,8.90E-02
P0CH08,1.11E-03,4.26E-01,3.28E-03,2.23E-01,1.17E-03,8.83E-02,1.33E-03,1.54E-01,1.22E-03,9.19E-02,1.34E-03,9.56E-02
P26637,4.50E-04,6.12E+00,8.75E-04,8.44E-01,4.74E-04,5.60E-01,1.98E-04,2.35E+00,9.83E-05,1.99E+00,1.71E-04,2.49E+00
P60010,9.48E-04,3.34E+00,1.80E-03,7.78E-01,2.45E-03,7.84E-01,8.71E-04,1.61E+00,8.93E-04,4.08E+00,8.29E-04,2.37E+00
P00358,4.92E-02,1.10E+01,1.85E-02,1.08E+00,2.14E-02,1.50E+00,2.24E-02,6.24E+00,1.42E-02,4.10E+00,1.86E-02,6.35E+00
P06168,7.91E-04,3.65E+01,3.96E-03,1.66E+00,3.73E-03,1.64E+00,1.40E-04,---,2.15E-04,---,1.90E-04,---
P17255,7.59E-04,---,7.71E-04,1.04E+00,8.83E-04,1.46E+00,8.73E-04,2.06E+01,5.13E-04,5.73E+01,4.50E-04,5.15E+01
P17536,2.82E-03,1.20E-01,1.21E-03,1.80E-01,1.55E-03,1.68E-01,2.11E-03,1.60E-01,2.05E-03,1.56E-01,1.85E-03,1.30E-01
P07806,1.54E-04,6.26E+00,7.14E-04,1.43E+00,4.62E-04,8.34E-01,1.31E-04,7.80E+00,2.20E-05,---,5.58E-05,8.21E-01
P39935,0.00E+00,0.00E+00,2.80E-04,9.73E-01,5.65E-04,1.33E+00,1.81E-04,6.22E-01,3.02E-04,8.23E-01,2.94E-04,9.62E-01
P04807,3.04E-03,7.95E+01,2.85E-03,1.09E+00,2.33E-03,8.96E-01,1.54E-03,2.75E+01,9.60E-04,---,1.15E-03,---
P38934,7.19E-04,2.94E+00,2.19E-03,2.78E+00,1.46E-03,1.25E+00,3.54E-04,3.69E-01,5.60E-04,4.36E-01,4.65E-04,4.01E-01
Q12193,---,---,1.01E-04,3.15E+00,3.59E-04,6.89E+00,---,---,---,---,---,---
Q12273,0.00E+00,0.00E+00,---,---,3.40E-04,7.30E+00,---,---,---,---,---,---
Q12088,---,---,---,---,3.23E-04,1.12E+01,---,---,---,---,---,---
Q99231,---,---,---,---,3.10E-04,6.67E+00,---,---,---,---,---,---
Q99337,---,---,8.72E-05,3.22E+00,2.99E-04,1.05E+01,---,---,---,---,---,---
P38879,4.78E-03,3.97E-01,7.45E-03,1.37E+00,4.14E-03,5.20E-01,6.07E-03,7.03E-01,5.91E-03,5.78E-01,5.48E-03,5.91E-01
P0CX82,2.46E-03,2.71E+00,5.04E-03,1.46E+00,6.09E-03,1.72E+00,2.58E-03,1.05E+01,1.77E-03,4.63E+00,1.81E-03,1.86E+01
P23254,2.69E-03,1.97E+02,6.55E-04,3.78E-01,8.42E-04,4.30E-01,2.23E-03,7.84E+00,1.48E-03,3.55E+00,1.76E-03,4.42E+00
P23301,2.84E-03,2.61E-01,7.12E-03,1.57E+00,9.23E-03,1.49E+00,9.71E-03,1.91E+00,1.18E-02,3.22E+00,1.33E-02,4.74E+00
Q12680,---,---,3.57E-05,7.39E-01,7.86E-05,2.35E+00,1.86E-05,---,2.24E-05,---,5.62E-06,1.29E+00
P32589,3.13E-04,1.62E+00,9.73E-04,1.01E+00,7.05E-04,5.39E-01,6.54E-04,1.44E+00,5.00E-04,1.44E+00,4.14E-04,1.27E+00
P46655,3.35E-04,---,5.74E-04,1.30E+00,1.03E-03,1.97E+00,2.45E-04,9.34E+00,1.86E-04,---,1.04E-04,8.00E+00
P14832,9.77E-03,6.79E-01,7.69E-03,1.34E+00,7.14E-03,1.15E+00,1.41E-02,3.06E+00,1.35E-02,3.19E+00,1.40E-02,2.76E+00
P07280,7.21E-03,9.62E-01,1.04E-02,1.70E+00,8.00E-03,1.41E+00,6.68E-03,2.43E+00,6.55E-03,2.72E+00,5.27E-03,2.07E+00
P19414,---,---,1.45E-03,3.85E+00,1.25E-03,2.33E+00,1.51E-04,1.81E+00,2.15E-04,3.01E+00,2.86E-04,---
P06105,3.16E-05,1.43E+00,1.56E-04,1.05E+00,1.36E-04,6.03E-01,3.37E-05,4.30E+00,3.87E-05,5.34E+00,4.07E-05,---
P16862,8.32E-05,---,6.90E-04,1.32E+00,9.24E-04,1.36E+00,6.95E-05,---,1.21E-05,---,3.93E-05,---
P15891,1.78E-04,1.76E-01,9.67E-04,8.05E-01,7.32E-04,4.28E-01,1.10E-04,1.41E-01,3.81E-04,6.67E-01,4.52E-04,7.72E-01
P38088,1.53E-04,---,7.92E-04,7.77E-01,1.20E-03,1.26E+00,1.50E-04,5.74E+00,1.56E-04,6.01E+00,1.95E-04,7.10E+00
Q12159,8.02E-04,1.98E+01,1.97E-03,4.28E+00,2.91E-03,6.45E+00,5.66E-04,1.41E+01,5.89E-04,1.47E+01,4.78E-04,1.13E+01
P25694,1.11E-04,1.01E+01,5.79E-04,8.62E-01,3.68E-04,6.32E-01,1.26E-04,1.61E+00,1.87E-04,1.76E+01,2.47E-04,---
P04801,1.09E-04,4.30E+00,6.76E-04,9.17E-01,5.82E-04,1.15E+00,1.74E-05,---,0.00E+00,0.00E+00,1.63E-05,---
P0CX55,1.43E-03,---,6.18E-03,6.43E-01,7.88E-03,2.02E+00,1.10E-03,1.79E+01,4.09E-04,---,5.92E-04,---
P26783,9.89E-04,5.06E+00,3.90E-03,1.62E+00,3.97E-03,1.37E+00,8.89E-04,2.72E+00,4.78E-04,1.96E+00,7.00E-04,2.09E+00
P10081,1.14E-03,1.29E+01,1.77E-03,8.99E-01,2.44E-03,1.17E+00,2.03E-03,4.38E+00,8.46E-04,2.29E+00,1.23E-03,2.89E+00
P34167,1.78E-04,1.18E-01,2.25E-03,5.44E+00,1.64E-03,2.49E+00,2.47E-03,3.36E+00,2.39E-03,4.21E+00,2.26E-03,2.92E+00
P26321,6.23E-04,6.47E-01,2.82E-03,8.03E-01,3.29E-03,1.09E+00,7.17E-04,5.26E-01,1.33E-03,1.17E+00,1.36E-03,1.05E+00
P0CX37,8.88E-04,1.84E+00,3.23E-03,1.29E+00,3.55E-03,1.37E+00,1.52E-03,3.55E+00,5.58E-04,1.43E+00,9.25E-04,1.45E+00
P39730,4.65E-04,1.67E+01,1.39E-04,1.23E+00,1.57E-04,1.18E+00,9.07E-05,1.00E+01,0.00E+00,0.00E+00,1.19E-05,8.50E-02
Q02642,3.19E-03,3.47E-01,2.92E-03,7.90E-01,1.66E-03,2.15E-01,1.14E-03,2.25E-01,2.20E-03,4.54E-01,1.56E-03,3.10E-01
P41805,---,---,2.58E-03,1.12E+00,4.15E-03,1.62E+00,3.60E-04,2.93E+00,0.00E+00,0.00E+00,1.13E-04,1.35E+00
P0CX45,5.83E-04,1.61E+01,2.75E-03,1.47E+00,3.48E-03,1.66E+00,5.15E-04,---,3.31E-04,---,9.48E-05,---
P0CX31,1.55E-03,1.13E+01,9.70E-03,1.23E+00,6.00E-03,1.88E+00,1.95E-03,4.73E+00,8.79E-04,6.36E+00,8.18E-04,3.90E+00
P05694,2.25E-03,---,2.32E-04,3.96E-01,5.05E-04,9.64E-01,5.62E-04,2.39E+01,2.65E-04,7.58E+00,3.59E-04,---
Q99383,1.69E-04,6.78E-01,3.33E-04,5.08E-01,1.10E-03,1.46E+00,5.59E-04,2.04E+00,5.17E-04,1.20E+00,6.86E-04,1.56E+00
Q12118,3.97E-05,6.57E-02,8.08E-04,2.97E-01,7.47E-04,3.23E-01,2.30E-04,1.14E-01,1.79E-03,9.54E-01,1.77E-03,9.77E-01
P02400,3.44E-03,9.60E-02,4.62E-03,3.61E-01,1.73E-03,1.26E-01,4.08E-03,1.25E-01,4.67E-03,1.16E-01,2.90E-03,7.66E-02
P12709,6.77E-03,---,8.73E-04,6.86E-01,1.12E-03,1.16E+00,4.76E-03,1.07E+01,2.95E-03,1.12E+01,3.19E-03,1.26E+01
P04806,2.61E-03,1.38E+02,9.17E-04,7.68E-01,1.45E-03,1.05E+00,1.68E-03,1.28E+01,1.09E-03,2.94E+01,1.02E-03,1.77E+01
P22147,---,---,8.32E-05,1.50E+00,1.40E-04,2.06E+00,0.00E+00,0.00E+00,7.59E-06,---,1.58E-05,---
P38720,2.13E-03,---,2.00E-03,9.91E-01,1.75E-03,7.50E-01,1.61E-03,9.51E+00,5.37E-04,9.81E+00,8.21E-04,1.44E+01
